"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 18:00 - 06/11/2025 19:00","77.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 19:00 - 06/11/2025 20:00","74.97",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 20:00 - 06/11/2025 21:00","75.60",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 21:00 - 06/11/2025 22:00","75.63",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 22:00 - 06/11/2025 23:00","66.13",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","06/11/2025 23:00 - 07/11/2025 00:00","62.45",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 00:00 - 06/11/2025 01:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 01:00 - 06/11/2025 02:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 02:00 - 06/11/2025 03:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 03:00 - 06/11/2025 04:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 04:00 - 06/11/2025 05:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 05:00 - 06/11/2025 06:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 06:00 - 06/11/2025 07:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 07:00 - 06/11/2025 08:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 08:00 - 06/11/2025 09:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 09:00 - 06/11/2025 10:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 10:00 - 06/11/2025 11:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 11:00 - 06/11/2025 12:00","0.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","06/11/2025 12:00 - 06/11/2025 13:00","0.00",""
