"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 01:00 - 08/11/2025 02:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 02:00 - 08/11/2025 03:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 03:00 - 08/11/2025 04:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 04:00 - 08/11/2025 05:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 05:00 - 08/11/2025 06:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 06:00 - 08/11/2025 07:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 07:00 - 08/11/2025 08:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 08:00 - 08/11/2025 09:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 09:00 - 08/11/2025 10:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 10:00 - 08/11/2025 11:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 11:00 - 08/11/2025 12:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 12:00 - 08/11/2025 13:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 13:00 - 08/11/2025 14:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 14:00 - 08/11/2025 15:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 15:00 - 08/11/2025 16:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 16:00 - 08/11/2025 17:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 17:00 - 08/11/2025 18:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 18:00 - 08/11/2025 19:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 19:00 - 08/11/2025 20:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 20:00 - 08/11/2025 21:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 21:00 - 08/11/2025 22:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 22:00 - 08/11/2025 23:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Nord GuD Nord","11WD8LEIP5X----6","Fossil Gas","11WD8LEIP5X----6","08/11/2025 23:00 - 09/11/2025 00:00","1.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","08/11/2025 00:00 - 08/11/2025 01:00","0.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","08/11/2025 01:00 - 08/11/2025 02:00","0.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","08/11/2025 02:00 - 08/11/2025 03:00","0.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","08/11/2025 03:00 - 08/11/2025 04:00","0.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","08/11/2025 04:00 - 08/11/2025 05:00","0.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Reuter West Block D","11WD8REUW1C---DD","Fossil Hard coal","11WD8REUW1C---DD","08/11/2025 05:00 - 08/11/2025 06:00","0.00",""
